id;fecha_intento;resultado;observaciones;proximo_intento
1;2025-06-19T03:35:38;cash solution aboard;hmph thorn;2025-06-19T14:25:45
2;2025-06-19T05:14:38;custom;for upright;2025-06-19T07:10:12
3;2025-06-19T06:47:11;scaly whenever midst;as youthfully;2025-06-19T15:52:37
4;2025-06-18T22:25:41;crossly polarisation couch;however cooperative;2025-06-18T22:35:02
5;2025-06-19T12:40:26;supposing alb rawhide;fax an boohoo;2025-06-19T07:11:39
6;2025-06-19T03:56:57;so versus zowie;impractical fictionalize;2025-06-19T04:06:21
7;2025-06-18T21:15:35;compete sticky;roundabout develop aside;2025-06-19T15:39:47
8;2025-06-19T02:44:01;meaningfully;geez moist characterization;2025-06-18T22:51:45
9;2025-06-19T18:22:14;magnificent;mid famously;2025-06-19T06:13:58
10;2025-06-18T21:53:54;ew boastfully;function gah accelerator;2025-06-19T07:15:35
