id;nombre;direccion;pais;ciudad;telefono;latitud;longitud
1;ah;beneath overcook;including shore;underachieve ironclad;gosh inasmuch;22506.47;11758.07
2;zowie cap effector;house;skean;barring;stump;31745.98;9955.87
3;anesthetize secrecy;ugh;polite;instead yowza;attend;9582.93;18009.39
4;inwardly questionably;kindly gee;gulp;mixed haversack supposing;badly fiercely;17601.65;32021.14
5;heartache;between;finally prejudge oof;helpfully strident;toward;32087.24;6037.18
6;sheathe modulo yawn;swathe;spew physically tankful;easily under phew;ring;32069.02;27157.66
7;pish bah;deform beneficial;ew;noxious per requite;quarrelsomely;1325.17;5241.87
8;wire;aboard yowza obstruct;across;untimely galvanize;scamper;13635.82;7949.59
9;severe joyously gasp;crossly ugh aw;beneath sparkling;under tensely;rebuild square surprise;22374.57;11720.94
10;duh cleave;after infamous;dead;till;quaver briefly suddenly;19439.25;29420.73
